,DRUGNAME,Train_size,Test_size,Accuracy,Precision,Recall,F1,AUCROC,AUCPR,Hidden_units,Learning_rate_ftrl,Learning_rate_adam,L1_regularization_strength,L2_regularization_strength
173,Seliciclib,189640,396,0.7727272727272727,0.9335548172757475,0.8005698005698005,0.8619631901840491,0.730167774612219,0.9497508147910982,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
174,Selisistat,189119,917,0.7829880043620502,0.9972144846796658,0.7842278203723987,0.8779889638258737,0.8537787513691129,0.9992456265158887,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
175,Selumetinib,188289,1747,0.6273611906124785,0.7156931738212526,0.8045886075949367,0.7575418994413406,0.5329420224336294,0.7661945056414599,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
176,Sepantronium bromide,189148,888,0.2702702702702703,0.05830903790087463,0.9523809523809523,0.10989010989010989,0.7246988629967354,0.10486920484488697,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
177,Serdemetan,189117,919,0.6539717083786725,0.6502242152466368,0.9897610921501706,0.7848443843031122,0.6446975986225134,0.7666272010432269,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
178,Shikonin,189159,877,0.4150513112884835,0.06422018348623854,0.9210526315789473,0.12006861063464837,0.7604604479016372,0.14157676661045376,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
179,Sorafenib,189633,403,0.7146401985111662,0.7304582210242587,0.9475524475524476,0.8249619482496194,0.7194728348574503,0.8519177390998316,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
180,Sunitinib,189638,398,0.5628140703517588,0.5628140703517588,1.0,0.7202572347266881,0.8395935960591133,0.8715072702486365,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
181,T0901317,189122,914,0.14332603938730853,1.0,0.11724915445321307,0.20988900100908173,0.8962378387406572,0.9961472251044606,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
182,TAK-715,189112,924,0.827922077922078,0.8275488069414316,1.0,0.9056379821958457,0.8143890982799182,0.9426380280190316,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
183,TGX221,189636,400,0.6925,0.9081632653061225,0.7355371900826446,0.8127853881278538,0.48775221502494226,0.9075718675870134,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
184,TPCA-1,189116,920,0.5119565217391304,0.5076754385964912,1.0,0.6734545454545454,0.8157057719846307,0.8007657388940359,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
185,TW 37,189115,921,0.05754614549402823,0.05136612021857923,1.0,0.0977130977130977,0.774721261989386,0.17788263272360127,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
186,Talazoparib,189119,917,0.5899672846237731,0.5541490857946554,0.869757174392936,0.6769759450171821,0.7097653573875314,0.708019083768553,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
187,Tamoxifen,189106,930,0.03870967741935484,1.0,0.029315960912052116,0.056962025316455694,0.564844975268428,0.9914912699415611,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
188,Tanespimycin,189186,850,0.5823529411764706,0.5026178010471204,0.2696629213483146,0.3510054844606947,0.5063173816130646,0.4711839291446087,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
189,Temozolomide,189124,912,0.019736842105263157,0.0,0.0,0.0,0.8584389758886404,0.9966953096218755,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
190,Temsirolimus,189199,837,0.5113500597371565,0.44837758112094395,0.8967551622418879,0.5978367748279253,0.6905083460686403,0.5928822999161212,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
191,Thapsigargin,189179,857,0.09101516919486581,0.08995327102803738,1.0,0.16505894962486603,0.7292540792540793,0.26008257963312587,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
192,Tipifarnib,189167,869,0.2243958573072497,0.2199074074074074,1.0,0.3605313092979127,0.7481939384543834,0.5104963828389713,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
193,Tivozanib,189116,920,0.9706521739130435,0.9823399558498896,0.9877913429522752,0.9850581073602656,0.8645948945615981,0.9962428338833987,49,7.94581095185585e-06,0.0004067851789088527,0.001,66.7516541409175
